"Symbol"
"JIOFIN.NS"
"M&M.NS"
"BHARTIARTL.NS"
"POWERGRID.NS"
"HDFCLIFE.NS"
"SHRIRAMFIN.NS"
"BEL.NS"
"NESTLEIND.NS"
"RELIANCE.NS"
"SBILIFE.NS"
"CIPLA.NS"
"HDFCBANK.NS"
"HCLTECH.NS"
"SBIN.NS"
"TRENT.NS"
"ICICIBANK.NS"
"ADANIENT.NS"
"JSWSTEEL.NS"
"HINDALCO.NS"
"TATACONSUM.NS"
"ETERNAL.NS"
"LT.NS"
"SUNPHARMA.NS"
"COALINDIA.NS"
"NTPC.NS"
"GRASIM.NS"
"INDUSINDBK.NS"
"TATASTEEL.NS"
"TITAN.NS"
"APOLLOHOSP.NS"
"ITC.NS"
"TATAMOTORS.NS"
"BAJAJFINSV.NS"
"KOTAKBANK.NS"
"TCS.NS"
"WIPRO.NS"
"ASIANPAINT.NS"
"TECHM.NS"
"HINDUNILVR.NS"
"DRREDDY.NS"
"ULTRACEMCO.NS"
"EICHERMOT.NS"
"ADANIPORTS.NS"
"INFY.NS"
"AXISBANK.NS"
"BAJFINANCE.NS"
"ONGC.NS"
"MARUTI.NS"
"BAJAJ-AUTO.NS"
"HEROMOTOCO.NS"
